id,is_delayed
1,0.351821423
3,0.208513185
5,0.466167748
6,0.480495512
11,0.654769599
13,0.328676581
15,0.239728868
17,0.510503709
18,0.343386859
19,0.26700756
20,0.667122781
25,0.171040297
26,0.262381315
30,0.535404146
32,0.371723175
34,0.251894832
36,0.616639137
40,0.325688124
41,0.231279925
42,0.245330602
43,0.387597263
45,0.59757483
46,0.303559422
47,0.486670613
49,0.335459948
50,0.317498803
52,0.61880827
55,0.25599274
56,0.22922425
57,0.491002619
58,0.303124487
59,0.246014431
62,0.380081177
65,0.659452438
68,0.370190442
69,0.216993898
70,0.185287297
75,0.469317138
76,0.190459684
77,0.307593316
81,0.338239908
82,0.441058218
84,0.213709772
86,0.443221271
89,0.179890931
90,0.348161459
91,0.235093027
92,0.335858077
93,0.541502774
94,0.520776927
95,0.187467664
96,0.276537776
99,0.376674712
101,0.299878269
102,0.36668098
103,0.205702305
106,0.417489588
109,0.722844064
111,0.203908563
113,0.293165892
116,0.413408697
119,0.449437559
120,0.084208637
121,0.321345687
125,0.308908522
128,0.07053525
132,0.191882968
133,0.321343422
139,0.150170594
141,0.734575212
143,0.454539657
148,0.195080832
153,0.227407277
154,0.192468911
157,0.21443069
158,0.288783491
159,0.296265662
160,0.16520147
161,0.671956301
162,0.542138577
164,0.432624936
168,0.059499562
169,0.309707224
170,0.139459252
171,0.476177812
173,0.186933875
174,0.19636631
175,0.290605605
179,0.667627871
180,0.532352626
182,0.449834824
184,0.374527216
186,0.195532918
187,0.304263711
190,0.309916466
191,0.322413415
193,0.467173219
194,0.111197896
196,0.313052714
197,0.321562558
198,0.417128026
199,0.393835723
201,0.276714176
202,0.23012799
204,0.37615633
206,0.147693247
209,0.488192439
210,0.366526008
213,0.259211719
214,0.531341076
216,0.328240871
217,0.149055183
218,0.386476696
219,0.308015943
220,0.298367918
221,0.382710993
222,0.685869098
223,0.135061786
224,0.198449656
226,0.465555847
228,0.326673985
233,0.169110596
234,0.45665282
235,0.365603507
236,0.509335756
237,0.17288211
238,0.192655057
239,0.145773172
241,0.441290736
242,0.506926835
243,0.331227303
245,0.729565144
247,0.049480245
248,0.184737861
250,0.369427443
253,0.538911045
256,0.38533169
257,0.384445727
259,0.32212168
260,0.116278373
261,0.536722362
262,0.519886672
266,0.737512827
268,0.245420724
271,0.242976859
274,0.256613314
275,0.488191903
276,0.131978512
280,0.33310771
282,0.180417955
283,0.437723637
284,0.373867571
285,0.682467163
287,0.428747475
290,0.153600246
292,0.278933287
293,0.103376761
297,0.494263887
298,0.330889851
299,0.349929869
301,0.300416052
302,0.319736987
304,0.166887328
306,0.195224851
307,0.102326386
309,0.321176112
314,0.598402739
322,0.310721099
323,0.793580532
324,0.18181251
325,0.558163106
326,0.271060944
327,0.4714095
328,0.174969941
331,0.071411133
333,0.163267642
335,0.392444372
337,0.590867162
338,0.303479433
341,0.249751016
343,0.390935957
345,0.415005863
347,0.259121001
348,0.547878146
349,0.33475405
350,0.128419712
354,0.252390474
357,0.337099075
360,0.18506071
361,0.171760485
362,0.163639963
364,0.251461387
366,0.318191022
369,0.183443055
373,0.519381344
377,0.379147768
378,0.311111391
379,0.555861354
381,0.290196896
382,0.227519616
383,0.163558558
387,0.69684267
391,0.356748819
392,0.66137296
396,0.357844412
403,0.572573543
405,0.463136315
406,0.325054646
409,0.211881131
410,0.206214458
411,0.927524686
413,0.402344167
414,0.405764103
416,0.315348089
418,0.500237942
419,0.201559082
420,0.318399429
424,0.300682068
429,0.372101724
430,0.548973382
433,0.24585101
436,0.210867643
437,0.154858261
438,0.287446529
439,0.571773648
440,0.354700208
441,0.190129116
442,0.59993118
443,0.279860795
448,0.739334702
450,0.292563736
453,0.177205876
454,0.601595581
455,0.3926422
456,0.3079229
457,0.134837165
458,0.489753067
460,0.211463258
461,0.328874618
462,0.142724663
463,0.237202331
464,0.306946605
466,0.255603582
467,0.236125469
468,0.21659939
469,0.406701326
470,0.286380649
472,0.21050936
473,0.574070156
475,0.604070485
476,0.135392413
477,0.277337253
478,0.351192862
479,0.289315015
481,0.31599167
485,0.339950472
489,0.386432827
490,0.177573353
492,0.333574295
494,0.605306983
497,0.280987918
498,0.390803337
500,0.272711217
501,0.545012414
502,0.551427305
503,0.308474422
504,0.14210619
505,0.235160232
507,0.449216604
508,0.161968857
509,0.277638495
513,0.478465378
515,0.305614114
516,0.278342426
518,0.427175879
519,0.278711498
522,0.266842663
523,0.482924461
524,0.341055006
527,0.37252605
532,0.293069184
534,0.486904085
536,0.411114454
538,0.244241968
543,0.622949302
550,0.464012027
551,0.095277816
555,0.201529771
556,0.74082154
558,0.596888006
559,0.183750004
562,0.258599788
565,0.255314022
566,0.189674914
568,0.509896159
570,0.285601079
571,0.514406383
572,0.27659148
573,0.555514216
575,0.304990411
578,0.23204428
579,0.530045509
580,0.571029305
581,0.399952173
582,0.143208891
583,0.1484631
585,0.161103472
587,0.500786483
589,0.166398093
590,0.480626464
591,0.177100793
593,0.240787208
594,0.086574897
595,0.202479064
597,0.261678994
601,0.472746372
602,0.600573897
603,0.29259783
604,0.436151564
605,0.183292449
609,0.387327969
610,0.344731748
611,0.410763621
612,0.234685779
617,0.641055405
622,0.183394685
624,0.248432383
628,0.094035834
630,0.48071903
632,0.392625749
633,0.302491844
634,0.520767748
635,0.305622548
639,0.218922362
644,0.227034241
645,0.535435498
647,0.626459301
648,0.187906459
651,0.304020822
654,0.44134593
655,0.256857008
657,0.440956593
658,0.141579479
663,0.172286481
665,0.394745588
666,0.403691828
668,0.250782669
670,0.275262564
671,0.879183888
675,0.283798933
677,0.156501442
680,0.121812582
681,0.222436816
683,0.28127268
686,0.350588173
688,0.272342503
689,0.527210355
692,0.142330498
693,0.556707799
696,0.257097363
697,0.436692894
701,0.334935248
